Object ID,FWHM BHA,FWHM BHB
0332-52367-0639,6331.12,8390.82
0386-51788-0086,4633.04,6292.37
2167-53889-0484,5839.54,8339.36
2037-53446-0015,6148.95,11321.95
0462-51909-0133,5548.19,13110.26
1365-53062-0378,6113.15,11431.83
1736-53052-0620,6130.53,7248.76
0878-52353-0598,5164.97,8531.05
0941-52709-0502,4367.14,6398.25
0789-52342-0507,5563.32,6418.54
1943-53386-0466,5459.38,6747.00
0665-52168-0597,6829.32,7471.76
0438-51884-0384,35000.32,8033.87
2884-54526-0177,8134.23,5212.18
2289-53708-0112,5838.19,6424.45
1805-53875-0587,6225.61,9270.28
2147-53491-0605,4100.80,4625.16
2145-54212-0182,8235.89,11510.90
1610-53144-0469,4983.80,4853.39
2784-54529-0027,7920.79,12459.25
0983-52443-0374,7326.96,9604.48
0285-51930-0280,5860.12,8542.77
2594-54177-0415,6016.57,13641.06
0556-51991-0472,4811.01,6038.22
2649-54212-0215,4551.68,4937.95
1959-53440-0066,6244.45,6581.82
1600-53090-0079,4977.52,7905.03
1277-52765-0332,5354.07,5068.98
0526-52312-0537,3893.46,7773.00
0592-52025-0376,5181.63,8518.20
2147-53491-0162,5155.29,5566.53
2774-54534-0430,6455.50,13351.94
1945-53387-0472,6039.54,5336.47
2781-54266-0054,5483.81,5366.57
0950-52378-0475,4331.42,12049.11
1605-53062-0038,6408.99,9535.10
0451-51908-0133,5061.95,4632.16
0765-52254-0058,5870.47,7236.99
1726-53137-0566,6008.25,12614.62
2116-53854-0621,6653.23,7714.28
1871-53384-0178,5748.07,9654.45
2743-54259-0576,4356.26,11835.90
2782-54592-0012,6267.06,5797.47
0513-51989-0110,7703.02,6345.29
2615-54483-0597,7822.82,8513.33
0655-52162-0315,5682.49,5726.44
2033-53476-0104,4914.96,5387.65
1866-53314-0508,7295.54,4653.74
0570-52266-0517,4572.42,6453.33
2488-54149-0503,6046.63,6578.05
1440-53084-0178,9045.82,11062.57
0375-52140-0361,5664.59,6082.45
0604-52079-0090,5787.38,9689.57
